Month,Mdate,Time,Hourly_Counts
June,2,9,831.0
June,2,10,1472.0
June,2,11,2354.0
June,2,12,3313.0
June,2,13,3816.0
June,2,14,3483.0
June,2,15,3523.0
June,2,16,3606.0
June,2,17,3559.0
June,2,18,3050.0
June,2,19,2150.0
June,2,20,1379.0
June,2,21,894.0
June,2,22,678.0
June,2,23,342.0
June,3,0,208.0
June,3,1,156.0
June,3,2,106.0
June,3,3,74.0
June,3,4,50.0
June,3,5,24.0
June,3,6,68.0
June,3,7,92.0
June,3,8,244.0
June,3,9,738.0
June,3,10,1365.0
June,3,11,2350.0
June,3,12,2946.0
June,3,13,3407.0
June,3,14,3806.0
June,3,15,3756.0
June,3,16,3682.0
June,3,17,2976.0
June,3,18,2186.0
June,3,19,1510.0
June,3,20,770.0
June,3,21,476.0
June,3,22,542.0
June,3,23,238.0
June,4,0,172.0
June,4,1,113.0
June,4,2,89.0
June,4,3,75.0
June,4,4,46.0
June,4,5,39.0
June,4,6,90.0
June,4,7,224.0
June,4,8,530.0
June,4,9,840.0
June,4,10,1280.0
June,4,11,2033.0
June,4,12,3110.0
June,4,13,3376.0
June,4,14,3243.0
June,4,15,3159.0
June,4,16,2929.0
June,4,17,2770.0
June,4,18,1958.0
June,4,19,1218.0
June,4,20,593.0
June,4,21,368.0
June,4,22,236.0
June,4,23,102.0
June,5,0,64.0
June,5,1,34.0
June,5,2,20.0
June,5,3,22.0
June,5,4,22.0
June,5,5,26.0
June,5,6,123.0
June,5,7,376.0
June,5,8,832.0
June,5,9,976.0
June,5,10,1266.0
June,5,11,1891.0
June,5,12,3150.0
June,5,13,3440.0
June,5,14,2681.0
June,5,15,2740.0
June,5,16,2772.0
June,5,17,2919.0
June,5,18,2234.0
June,5,19,1238.0
June,5,20,685.0
June,5,21,364.0
June,5,22,260.0
June,5,23,106.0
June,6,0,53.0
June,6,1,38.0
June,6,2,20.0
June,6,3,14.0
June,6,4,22.0
June,6,5,35.0
June,6,6,109.0
June,6,7,348.0
June,6,8,844.0
June,6,9,984.0
June,6,10,1336.0
June,6,11,2059.0
June,6,12,3323.0
June,6,13,3599.0
June,6,14,2870.0
June,6,15,2721.0
June,6,16,2806.0
June,6,17,3116.0
June,6,18,2572.0
June,6,19,1344.0
June,6,20,672.0
June,6,21,472.0
June,6,22,298.0
June,6,23,179.0
June,7,0,96.0
June,7,1,34.0
June,7,2,36.0
June,7,3,12.0
June,7,4,18.0
June,7,5,35.0
June,7,6,101.0
June,7,7,354.0
June,7,8,916.0
June,7,9,1106.0
June,7,10,1456.0
June,7,11,2038.0
June,7,12,3228.0
June,7,13,3624.0
June,7,14,2880.0
June,7,15,2824.0
June,7,16,2902.0
June,7,17,3298.0
June,7,18,2594.0
June,7,19,1842.0
June,7,20,1121.0
June,7,21,728.0
June,7,22,326.0
June,7,23,169.0
June,8,0,92.0
June,8,1,53.0
June,8,2,34.0
June,8,3,22.0
June,8,4,32.0
June,8,5,32.0
June,8,6,98.0
June,8,7,281.0
June,8,8,806.0
June,8,9,1072.0
June,8,10,1383.0
June,8,11,2023.0
June,8,12,3160.0
June,8,13,3436.0
June,8,14,3125.0
June,8,15,2814.0
June,8,16,2994.0
June,8,17,3568.0
June,8,18,3088.0
June,8,19,2256.0
June,8,20,1647.0
June,8,21,1018.0
June,8,22,520.0
June,8,23,275.0
June,9,0,180.0
June,9,1,114.0
June,9,2,94.0
June,9,3,64.0
June,9,4,56.0
June,9,5,28.0
June,9,6,78.0
June,9,7,203.0
June,9,8,560.0
June,9,9,902.0
June,9,10,1541.0
June,9,11,2465.0
June,9,12,3629.0
June,9,13,4099.0
June,9,14,3988.0
June,9,15,3964.0
June,9,16,4041.0
June,9,17,3987.0
June,9,18,3325.0
June,9,19,2493.0
June,9,20,1630.0
June,9,21,1036.0
June,9,22,760.0
June,9,23,482.0
June,10,0,304.0
June,10,1,146.0
June,10,2,108.0
June,10,3,93.0
June,10,4,56.0
June,10,5,42.0
June,10,6,78.0
June,10,7,66.0
June,10,8,238.0
June,10,9,734.0
June,10,10,1534.0
June,10,11,2580.0
June,10,12,3306.0
June,10,13,3864.0
June,10,14,4098.0
June,10,15,4256.0
June,10,16,4046.0
June,10,17,3498.0
June,10,18,2678.0
June,10,19,2095.0
June,10,20,944.0
June,10,21,698.0
June,10,22,617.0
June,10,23,326.0
June,11,0,194.0
June,11,1,134.0
June,11,2,97.0
June,11,3,97.0
June,11,4,72.0
June,11,5,55.0
June,11,6,60.0
June,11,7,90.0
June,11,8,198.0
June,11,9,649.0
June,11,10,1538.0
June,11,11,2476.0
June,11,12,3219.0
June,11,13,3747.0
June,11,14,3910.0
June,11,15,3797.0
June,11,16,3642.0
June,11,17,2954.0
June,11,18,2364.0
June,11,19,1380.0
June,11,20,684.0
June,11,21,443.0
June,11,22,282.0
June,11,23,167.0
June,12,0,126.0
June,12,1,70.0
June,12,2,50.0
June,12,3,35.0
June,12,4,22.0
June,12,5,40.0
June,12,6,88.0
June,12,7,228.0
June,12,8,543.0
June,12,9,743.0
June,12,10,1317.0
June,12,11,2042.0
June,12,12,3124.0
June,12,13,3502.0
June,12,14,3223.0
June,12,15,3089.0
June,12,16,2805.0
June,12,17,2597.0
June,12,18,1980.0
June,12,19,1198.0
June,12,20,552.0
June,12,21,382.0
June,12,22,206.0
June,12,23,126.0
June,13,0,58.0
June,13,1,39.0
June,13,2,22.0
June,13,3,8.0
June,13,4,24.0
June,13,5,36.0
June,13,6,102.0
June,13,7,308.0
June,13,8,810.0
June,13,9,959.0
June,13,10,1274.0
June,13,11,1922.0
June,13,12,3144.0
June,13,13,3483.0
June,13,14,2776.0
June,13,15,2874.0
June,13,16,2850.0
June,13,17,3035.0
June,13,18,2044.0
June,13,19,1170.0
June,13,20,592.0
June,13,21,423.0
June,13,22,260.0
June,13,23,136.0
June,14,0,62.0
June,14,1,38.0
June,14,2,18.0
June,14,3,14.0
June,14,4,14.0
June,14,5,26.0
June,14,6,137.0
June,14,7,320.0
June,14,8,848.0
June,14,9,939.0
June,14,10,1362.0
June,14,11,2034.0
June,14,12,3284.0
June,14,13,3648.0
June,14,14,3036.0
June,14,15,2982.0
June,14,16,3070.0
June,14,17,3386.0
June,14,18,2650.0
June,14,19,1744.0
June,14,20,1005.0
June,14,21,684.0
June,14,22,268.0
June,14,23,153.0
June,15,0,87.0
June,15,1,56.0
June,15,2,30.0
June,15,3,32.0
June,15,4,39.0
June,15,5,26.0
June,15,6,116.0
June,15,7,310.0
June,15,8,800.0
June,15,9,969.0
June,15,10,1274.0
June,15,11,2095.0
June,15,12,3262.0
June,15,13,3599.0
June,15,14,3118.0
June,15,15,3109.0
June,15,16,3202.0
June,15,17,3768.0
June,15,18,3046.0
June,15,19,2123.0
June,15,20,1399.0
June,15,21,876.0
June,15,22,468.0
June,15,23,298.0
June,16,0,151.0
June,16,1,94.0
June,16,2,64.0
June,16,3,64.0
June,16,4,56.0
June,16,5,27.0
June,16,6,78.0
June,16,7,176.0
June,16,8,564.0
June,16,9,896.0
June,16,10,1490.0
June,16,11,2326.0
June,16,12,3463.0
June,16,13,3860.0
June,16,14,3821.0
June,16,15,3821.0
June,16,16,3705.0
June,16,17,3843.0
June,16,18,3058.0
June,16,19,2160.0
June,16,20,1456.0
June,16,21,882.0
June,16,22,626.0
June,16,23,373.0
June,17,0,199.0
June,17,1,151.0
June,17,2,93.0
June,17,3,63.0
June,17,4,46.0
June,17,5,39.0
June,17,6,44.0
June,17,7,80.0
June,17,8,240.0
June,17,9,572.0
June,17,10,1160.0
June,17,11,1986.0
June,17,12,2704.0
June,17,13,2895.0
June,17,14,3012.0
June,17,15,3198.0
June,17,16,3200.0
June,17,17,2944.0
June,17,18,2292.0
June,17,19,1573.0
June,17,20,767.0
June,17,21,522.0
June,17,22,359.0
June,17,23,222.0
June,18,0,152.0
June,18,1,75.0
June,18,2,74.0
June,18,3,76.0
June,18,4,42.0
June,18,5,24.0
June,18,6,86.0
June,18,7,192.0
June,18,8,488.0
June,18,9,780.0
June,18,10,1212.0
June,18,11,1956.0
June,18,12,2826.0
June,18,13,3347.0
June,18,14,3231.0
June,18,15,3144.0
June,18,16,3017.0
June,18,17,2878.0
June,18,18,2126.0
June,18,19,1344.0
June,18,20,635.0
June,18,21,375.0
June,18,22,199.0
June,18,23,162.0
June,19,0,62.0
June,19,1,39.0
June,19,2,16.0
June,19,3,10.0
June,19,4,16.0
June,19,5,34.0
June,19,6,112.0
June,19,7,270.0
June,19,8,833.0
June,19,9,916.0
June,19,10,1173.0
June,19,11,1877.0
June,19,12,3142.0
June,19,13,3448.0
June,19,14,3000.0
June,19,15,3012.0
June,19,16,3046.0
June,19,17,3158.0
June,19,18,2409.0
June,19,19,1335.0
June,19,20,695.0
June,19,21,436.0
June,19,22,248.0
June,19,23,105.0
June,20,0,112.0
June,20,1,34.0
June,20,2,22.0
June,20,3,16.0
June,20,4,16.0
June,20,5,31.0
June,20,6,104.0
June,20,7,310.0
June,20,8,876.0
June,20,9,967.0
June,20,10,1279.0
June,20,11,1848.0
June,20,12,3174.0
June,20,13,3645.0
June,20,14,2962.0
June,20,15,2913.0
June,20,16,3066.0
June,20,17,3348.0
June,20,18,2590.0
June,20,19,1552.0
June,20,20,814.0
June,20,21,502.0
June,20,22,271.0
June,20,23,120.0
June,21,0,83.0
June,21,1,40.0
June,21,2,19.0
June,21,3,25.0
June,21,4,15.0
June,21,5,31.0
June,21,6,100.0
June,21,7,344.0
June,21,8,828.0
June,21,9,900.0
June,21,10,1338.0
June,21,11,1963.0
June,21,12,3290.0
June,21,13,3686.0
June,21,14,3082.0
June,21,15,2952.0
June,21,16,3107.0
June,21,17,3544.0
June,21,18,2836.0
June,21,19,1820.0
June,21,20,1284.0
June,21,21,748.0
June,21,22,362.0
June,21,23,172.0
June,22,0,121.0
June,22,1,60.0
June,22,2,30.0
June,22,3,37.0
June,22,4,16.0
June,22,5,24.0
June,22,6,126.0
June,22,7,314.0
June,22,8,816.0
June,22,9,1064.0
June,22,10,1446.0
June,22,11,2170.0
June,22,12,3484.0
June,22,13,3897.0
June,22,14,3298.0
June,22,15,3267.0
June,22,16,3439.0
June,22,17,4062.0
June,22,18,3477.0
June,22,19,2379.0
June,22,20,1904.0
June,22,21,1127.0
June,22,22,538.0
June,22,23,257.0
June,23,0,178.0
June,23,1,130.0
June,23,2,77.0
June,23,3,73.0
June,23,4,48.0
June,23,5,23.0
June,23,6,88.0
June,23,7,198.0
June,23,8,510.0
June,23,9,863.0
June,23,10,1426.0
June,23,11,2266.0
June,23,12,3405.0
June,23,13,3913.0
June,23,14,3653.0
June,23,15,3803.0
June,23,16,3816.0
June,23,17,3794.0
June,23,18,3107.0
June,23,19,2343.0
June,23,20,1556.0
June,23,21,1074.0
June,23,22,602.0
June,23,23,290.0
June,24,0,264.0
June,24,1,154.0
June,24,2,108.0
June,24,3,116.0
June,24,4,48.0
June,24,5,36.0
June,24,6,61.0
June,24,7,91.0
June,24,8,240.0
June,24,9,662.0
June,24,10,1442.0
June,24,11,2467.0
June,24,12,3045.0
June,24,13,3384.0
June,24,14,3660.0
June,24,15,3966.0
June,24,16,3809.0
June,24,17,3174.0
June,24,18,2385.0
June,24,19,1724.0
June,24,20,866.0
June,24,21,524.0
June,24,22,452.0
June,24,23,286.0
June,25,0,150.0
June,25,1,132.0
June,25,2,77.0
June,25,3,52.0
June,25,4,44.0
June,25,5,22.0
June,25,6,99.0
June,25,7,206.0
June,25,8,486.0
June,25,9,708.0
June,25,10,1314.0
June,25,11,2124.0
June,25,12,3136.0
June,25,13,3543.0
June,25,14,3278.0
June,25,15,3364.0
June,25,16,3257.0
June,25,17,3116.0
June,25,18,2292.0
June,25,19,1418.0
June,25,20,638.0
June,25,21,396.0
June,25,22,210.0
June,25,23,146.0
June,26,0,54.0
June,26,1,39.0
June,26,2,20.0
June,26,3,15.0
June,26,4,18.0
June,26,5,36.0
June,26,6,114.0
June,26,7,295.0
June,26,8,818.0
June,26,9,1002.0
