Month,Mdate,Time,hourly_counts
April,27,13,3713.0
April,27,14,3200.0
April,27,15,3135.0
April,27,16,3491.0
April,27,17,3911.0
April,27,18,3563.0
April,27,19,2882.0
April,27,20,2651.0
April,27,21,2074.0
April,27,22,1660.0
April,27,23,1396.0
April,28,0,673.0
April,28,1,408.0
April,28,2,293.0
April,28,3,231.0
April,28,4,115.0
April,28,5,90.0
April,28,6,102.0
April,28,7,160.0
April,28,8,420.0
April,28,9,760.0
April,28,10,1411.0
April,28,11,2210.0
April,28,12,2737.0
April,28,13,3130.0
April,28,14,3270.0
April,28,15,3704.0
April,28,16,3455.0
April,28,17,3143.0
April,28,18,2640.0
April,28,19,2312.0
April,28,20,1728.0
April,28,21,1593.0
April,28,22,1307.0
April,28,23,1142.0
April,29,0,1014.0
April,29,1,633.0
April,29,2,443.0
April,29,3,728.0
April,29,4,310.0
April,29,5,140.0
April,29,6,174.0
April,29,7,185.0
April,29,8,321.0
April,29,9,597.0
April,29,10,1134.0
April,29,11,1827.0
April,29,12,2327.0
April,29,13,2886.0
April,29,14,3693.0
April,29,15,2902.0
April,29,16,2449.0
April,29,17,2452.0
April,29,18,2048.0
April,29,19,1449.0
April,29,20,1094.0
April,29,21,744.0
April,29,22,511.0
April,29,23,312.0
April,30,0,135.0
April,30,1,70.0
April,30,2,41.0
April,30,3,25.0
April,30,4,30.0
April,30,5,77.0
April,30,6,193.0
April,30,7,498.0
April,30,8,1073.0
April,30,9,1255.0
April,30,10,1694.0
April,30,11,2153.0
April,30,12,3109.0
April,30,13,3452.0
April,30,14,2857.0
April,30,15,2862.0
April,30,16,2712.0
April,30,17,3200.0
April,30,18,2344.0
April,30,19,1578.0
April,30,20,1052.0
April,30,21,861.0
April,30,22,488.0
April,30,23,252.0
May,1,0,85.0
May,1,1,63.0
May,1,2,30.0
May,1,3,18.0
May,1,4,27.0
May,1,5,64.0
May,1,6,195.0
May,1,7,507.0
May,1,8,1165.0
May,1,9,1229.0
May,1,10,1525.0
May,1,11,2092.0
May,1,12,3203.0
May,1,13,3465.0
May,1,14,2957.0
May,1,15,2765.0
May,1,16,2869.0
May,1,17,3190.0
May,1,18,2438.0
May,1,19,1745.0
May,1,20,1228.0
May,1,21,930.0
May,1,22,515.0
May,1,23,338.0
May,2,0,185.0
May,2,1,91.0
May,2,2,21.0
May,2,3,19.0
May,2,4,41.0
May,2,5,78.0
May,2,6,209.0
May,2,7,471.0
May,2,8,1157.0
May,2,9,1249.0
May,2,10,1632.0
May,2,11,2233.0
May,2,12,3287.0
May,2,13,3575.0
May,2,14,2912.0
May,2,15,3026.0
May,2,16,2924.0
May,2,17,3246.0
May,2,18,2722.0
May,2,19,1900.0
May,2,20,1244.0
May,2,21,941.0
May,2,22,640.0
May,2,23,310.0
May,3,0,147.0
May,3,1,92.0
May,3,2,40.0
May,3,3,31.0
May,3,4,34.0
May,3,5,72.0
May,3,6,211.0
May,3,7,545.0
May,3,8,1152.0
May,3,9,1167.0
May,3,10,1660.0
May,3,11,2043.0
May,3,12,3085.0
May,3,13,3462.0
May,3,14,2973.0
May,3,15,2787.0
May,3,16,3031.0
May,3,17,3545.0
May,3,18,2803.0
May,3,19,2090.0
May,3,20,1834.0
May,3,21,1381.0
May,3,22,889.0
May,3,23,599.0
May,4,0,250.0
May,4,1,134.0
May,4,2,78.0
May,4,3,40.0
May,4,4,55.0
May,4,5,58.0
May,4,6,182.0
May,4,7,546.0
May,4,8,1052.0
May,4,9,1214.0
May,4,10,1669.0
May,4,11,2105.0
May,4,12,3043.0
May,4,13,3502.0
May,4,14,2812.0
May,4,15,2884.0
May,4,16,3042.0
May,4,17,3656.0
May,4,18,3376.0
May,4,19,2872.0
May,4,20,2537.0
May,4,21,1944.0
May,4,22,1899.0
May,4,23,1036.0
May,5,0,649.0
May,5,1,430.0
May,5,2,298.0
May,5,3,240.0
May,5,4,123.0
May,5,5,101.0
May,5,6,89.0
May,5,7,206.0
May,5,8,427.0
May,5,9,849.0
May,5,10,1627.0
May,5,11,2282.0
May,5,12,3197.0
May,5,13,3481.0
May,5,14,3431.0
May,5,15,3250.0
May,5,16,3316.0
May,5,17,3344.0
May,5,18,2710.0
May,5,19,2124.0
May,5,20,1832.0
May,5,21,1480.0
May,5,22,1440.0
May,5,23,1051.0
May,6,0,1120.0
May,6,1,566.0
May,6,2,410.0
May,6,3,256.0
May,6,4,155.0
May,6,5,140.0
May,6,6,152.0
May,6,7,188.0
May,6,8,315.0
May,6,9,631.0
May,6,10,1396.0
May,6,11,1923.0
May,6,12,2521.0
May,6,13,3040.0
May,6,14,3020.0
May,6,15,2716.0
May,6,16,2709.0
May,6,17,2395.0
May,6,18,1955.0
May,6,19,1490.0
May,6,20,1300.0
May,6,21,918.0
May,6,22,836.0
May,6,23,527.0
May,7,0,417.0
May,7,1,158.0
May,7,2,44.0
May,7,3,36.0
May,7,4,30.0
May,7,5,81.0
May,7,6,155.0
May,7,7,473.0
May,7,8,1197.0
May,7,9,1236.0
May,7,10,1675.0
May,7,11,2033.0
May,7,12,3129.0
May,7,13,3434.0
May,7,14,2747.0
May,7,15,2535.0
May,7,16,2653.0
May,7,17,3164.0
May,7,18,2284.0
May,7,19,1590.0
May,7,20,1228.0
May,7,21,932.0
May,7,22,483.0
May,7,23,581.0
May,8,0,125.0
May,8,1,63.0
May,8,2,24.0
May,8,3,30.0
May,8,4,30.0
May,8,5,73.0
May,8,6,193.0
May,8,7,504.0
May,8,8,1122.0
May,8,9,1189.0
May,8,10,1721.0
May,8,11,2109.0
May,8,12,3100.0
May,8,13,3271.0
May,8,14,2811.0
May,8,15,2863.0
May,8,16,3017.0
May,8,17,3186.0
May,8,18,2659.0
May,8,19,1615.0
May,8,20,1139.0
May,8,21,855.0
May,8,22,515.0
May,8,23,251.0
May,9,0,128.0
May,9,1,77.0
May,9,2,34.0
May,9,3,26.0
May,9,4,30.0
May,9,5,64.0
May,9,6,173.0
May,9,7,524.0
May,9,8,1240.0
May,9,9,1613.0
May,9,10,2499.0
May,9,11,3630.0
May,9,12,4215.0
May,9,13,3460.0
May,9,14,2970.0
May,9,15,2889.0
May,9,16,2960.0
May,9,17,3433.0
May,9,18,2634.0
May,9,19,1662.0
May,9,20,1133.0
May,9,21,901.0
May,9,22,536.0
May,9,23,198.0
May,10,0,91.0
May,10,1,41.0
May,10,2,21.0
May,10,3,15.0
May,10,4,32.0
May,10,5,72.0
May,10,6,220.0
May,10,7,480.0
May,10,8,1120.0
May,10,9,1215.0
May,10,10,1605.0
May,10,11,1961.0
May,10,12,2978.0
May,10,13,2913.0
May,10,14,2454.0
May,10,15,2504.0
May,10,16,2572.0
May,10,17,2902.0
May,10,18,2361.0
May,10,19,1513.0
May,10,20,1193.0
May,10,21,795.0
May,10,22,519.0
May,10,23,295.0
May,11,0,150.0
May,11,1,120.0
May,11,2,52.0
May,11,3,40.0
May,11,4,38.0
May,11,5,61.0
May,11,6,178.0
May,11,7,459.0
May,11,8,1055.0
May,11,9,1294.0
May,11,10,1495.0
May,11,11,1928.0
May,11,12,2321.0
May,11,13,2403.0
May,11,14,2133.0
May,11,15,2147.0
May,11,16,2534.0
May,11,17,2816.0
May,11,18,2525.0
May,11,19,2072.0
May,11,20,1823.0
May,11,21,1576.0
May,11,22,1212.0
May,11,23,1335.0
May,12,0,620.0
May,12,1,371.0
May,12,2,297.0
May,12,3,161.0
May,12,4,77.0
May,12,5,102.0
May,12,6,110.0
May,12,7,179.0
May,12,8,475.0
May,12,9,961.0
May,12,10,1662.0
May,12,11,2412.0
May,12,12,3164.0
May,12,13,3614.0
May,12,14,3586.0
May,12,15,3516.0
May,12,16,3322.0
May,12,17,3360.0
May,12,18,2616.0
May,12,19,2331.0
May,12,20,1705.0
May,12,21,1284.0
May,12,22,916.0
May,12,23,960.0
May,13,0,571.0
May,13,1,361.0
May,13,2,288.0
May,13,3,235.0
May,13,4,157.0
May,13,5,120.0
May,13,6,150.0
May,13,7,162.0
May,13,8,367.0
May,13,9,690.0
May,13,10,1279.0
May,13,11,2010.0
May,13,12,2776.0
May,13,13,2793.0
May,13,14,3030.0
May,13,15,2979.0
May,13,16,2810.0
May,13,17,2335.0
May,13,18,1859.0
May,13,19,1484.0
May,13,20,1027.0
May,13,21,692.0
May,13,22,557.0
May,13,23,233.0
May,14,0,137.0
May,14,1,61.0
May,14,2,25.0
May,14,3,29.0
May,14,4,34.0
May,14,5,90.0
May,14,6,171.0
May,14,7,477.0
May,14,8,1085.0
May,14,9,1123.0
May,14,10,1639.0
May,14,11,1903.0
May,14,12,2959.0
May,14,13,3346.0
May,14,14,2765.0
May,14,15,2708.0
May,14,16,2762.0
May,14,17,3131.0
May,14,18,2270.0
May,14,19,1965.0
May,14,20,1924.0
May,14,21,1030.0
May,14,22,1114.0
May,14,23,341.0
May,15,0,98.0
May,15,1,55.0
May,15,2,21.0
May,15,3,33.0
May,15,4,38.0
May,15,5,84.0
May,15,6,192.0
May,15,7,510.0
May,15,8,1109.0
May,15,9,1099.0
May,15,10,1455.0
May,15,11,1798.0
May,15,12,2613.0
May,15,13,2896.0
May,15,14,2531.0
May,15,15,2594.0
May,15,16,2756.0
May,15,17,3271.0
May,15,18,2340.0
May,15,19,1539.0
May,15,20,1067.0
May,15,21,911.0
May,15,22,532.0
May,15,23,368.0
May,16,0,109.0
May,16,1,52.0
May,16,2,41.0
May,16,3,33.0
May,16,4,36.0
May,16,5,76.0
May,16,6,186.0
May,16,7,465.0
May,16,8,1161.0
May,16,9,1206.0
May,16,10,1610.0
