date_time,day,hourly_counts,id,mdate,month,sensor_id,sensor_name,time,year
18/02/2019 0:00,Monday,44,2566351,18,February,2,Bourke Street Mall (South),0,2019
18/02/2019 0:00,Monday,96,2566352,18,February,1,Bourke Street Mall (North),0,2019
18/02/2019 0:00,Monday,81,2566353,18,February,15,State Library,0,2019
18/02/2019 0:00,Monday,38,2566354,18,February,9,Southern Cross Station,0,2019
18/02/2019 0:00,Monday,19,2566355,18,February,10,Victoria Point,0,2019
18/02/2019 0:00,Monday,52,2566356,18,February,12,New Quay,0,2019
18/02/2019 0:00,Monday,22,2566357,18,February,11,Waterfront City,0,2019
18/02/2019 0:00,Monday,33,2566358,18,February,8,Webb Bridge,0,2019
18/02/2019 0:00,Monday,143,2566359,18,February,5,Princes Bridge,0,2019
18/02/2019 0:00,Monday,278,2566360,18,February,6,Flinders Street Station Underpass,0,2019
18/02/2019 0:00,Monday,102,2566361,18,February,14,Sandridge Bridge,0,2019
18/02/2019 0:00,Monday,95,2566362,18,February,26,QV Market-Elizabeth St (West),0,2019
18/02/2019 0:00,Monday,120,2566363,18,February,24,Spencer St-Collins St (North),0,2019
18/02/2019 0:00,Monday,40,2566364,18,February,23,Spencer St-Collins St (South),0,2019
18/02/2019 0:00,Monday,57,2566365,18,February,25,Melbourne Convention Exhibition Centre,0,2019
18/02/2019 0:00,Monday,215,2566366,18,February,21,Bourke St-Russell St (West),0,2019
18/02/2019 0:00,Monday,87,2566367,18,February,20,Chinatown-Lt Bourke St (South),0,2019
18/02/2019 0:00,Monday,102,2566368,18,February,19,Chinatown-Swanston St (North),0,2019
18/02/2019 0:00,Monday,329,2566369,18,February,22,Flinders St-Elizabeth St (East),0,2019
18/02/2019 0:00,Monday,25,2566370,18,February,27,QV Market-Peel St,0,2019
18/02/2019 0:00,Monday,107,2566371,18,February,28,The Arts Centre,0,2019
18/02/2019 0:00,Monday,76,2566372,18,February,31,Lygon St (West),0,2019
18/02/2019 0:00,Monday,189,2566373,18,February,30,Lonsdale St (South),0,2019
18/02/2019 0:00,Monday,15,2566374,18,February,33,Flinders St-Spring St (West),0,2019
18/02/2019 0:00,Monday,13,2566375,18,February,34,Flinders St-Spark La,0,2019
