Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Parking type,Parking spaces,x coordinate,y coordinate,Location
2017,12,103998,103998,452-470 Flinders Street,Melbourne (CBD),Commercial,296,144.9586012,-37.81946849,"(-37.81946849, 144.9586012)"
2017,516,107026,107026,53 Ormond Street,Kensington,Residential,1,144.9291259,-37.79764333,"(-37.79764333, 144.9291259)"
2017,724,108648,108648,545-547 St Kilda Road,Melbourne (Remainder),Residential,11,144.9801503,-37.84633685,"(-37.84633685, 144.9801503)"
2017,773,637429,637429,126 Lorimer Street,Docklands,Residential,2,144.9396771,-37.82332473,"(-37.82332473, 144.9396771)"
2017,860,102509,102509,203 Domain Road,South Yarra,Residential,2,144.9834594,-37.83447431,"(-37.83447431, 144.9834594)"
2017,812,110350,110350,27-33 City Road,Southbank,Residential,43,144.9668813,-37.82169186,"(-37.82169186, 144.9668813)"
2017,556,558324,558324,23 Speakmen Street,Kensington,Residential,2,144.9178187,-37.79460885,"(-37.79460885, 144.9178187)"
2017,861,108685,108685,20-36 St Martins Place,South Yarra,Private,22,144.9813669,-37.83491719,"(-37.83491719, 144.9813669)"
2017,560,110945,110945,82-84 Gatehouse Drive,Kensington,Residential,2,144.9191845,-37.79348865,"(-37.79348865, 144.9191845)"
2017,318,101359,101359,35-37 Canning Street,North Melbourne,Private,45,144.9440901,-37.79642252,"(-37.79642252, 144.9440901)"
2017,815,110394,110394,276-282 City Road,Southbank,Private,3,144.9591311,-37.8263228,"(-37.8263228, 144.9591311)"
2017,514,108822,108822,1 Southey Street,Kensington,Residential,1,144.9308411,-37.7978472,"(-37.7978472, 144.9308411)"
2017,232,109139,109139,56-58 Station Street,Carlton,Residential,1,144.9744647,-37.79625005,"(-37.79625005, 144.9744647)"
2017,345,102385,102385,30-36 Curzon Street,North Melbourne,Residential,4,144.9481844,-37.80399301,"(-37.80399301, 144.9481844)"
2017,760,108645,108645,517 St Kilda Road,Melbourne (Remainder),Commercial,8,144.9793123,-37.84459479,"(-37.84459479, 144.9793123)"
2017,420,105348,105348,581 King Street,West Melbourne (Residential),Residential,1,144.9494143,-37.80635574,"(-37.80635574, 144.9494143)"
2017,2389,624256,624256,19A Sutton Street,North Melbourne,Residential,1,144.9411067,-37.79255888,"(-37.79255888, 144.9411067)"
2017,923,107300,107300,169 Park Drive,Parkville,Residential,1,144.9557496,-37.79385506,"(-37.79385506, 144.9557496)"
2017,2511,618075,618075,12 Export Lane,Kensington,Residential,1,144.9251719,-37.78976798,"(-37.78976798, 144.9251719)"
2017,54,108105,108105,178-182 Queen Street,Melbourne (CBD),Private,15,144.96077,-37.814189,"(-37.814189, 144.96077)"
