,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Latitude,Longitude
945,2015,34,102133,102133,360-374 Collins Street,Melbourne (CBD),1969,4511,Cafes and Restaurants,Seats - Outdoor,40,-37.81615528, 144.9621844
946,2015,24,102091,102091,351-357 Collins Street,Melbourne (CBD),Vapiano,4511,Cafes and Restaurants,Seats - Indoor,250,-37.81722704, 144.9627888
947,2015,24,102091,102091,351-357 Collins Street,Melbourne (CBD),Crema,4511,Cafes and Restaurants,Seats - Indoor,42,-37.81722704, 144.9627888
948,2015,24,102091,102091,351-357 Collins Street,Melbourne (CBD),Mr Banks,4511,Cafes and Restaurants,Seats - Indoor,61,-37.81722704, 144.9627888
949,2015,24,102091,102091,351-357 Collins Street,Melbourne (CBD),O-Bento,4511,Cafes and Restaurants,Seats - Indoor,60,-37.81722704, 144.9627888
950,2015,56,101204,101204,194-200 Bourke Street,Melbourne (CBD),Wagaya Japanese Restaurant,4511,Cafes and Restaurants,Seats - Indoor,300,-37.8124312, 144.9672768
951,2015,56,101204,101204,194-200 Bourke Street,Melbourne (CBD),Wagaya Japanese Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,20,-37.8124312, 144.9672768
952,2015,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),Blackball,4511,Cafes and Restaurants,Seats - Indoor,50,-37.81259409, 144.9668768
953,2015,44,105959,105959,358-360 Little Collins Street,Melbourne (CBD),Gills Diner,4511,Cafes and Restaurants,Seats - Indoor,70,-37.81528248, 144.9626388
954,2015,44,105959,105959,358-360 Little Collins Street,Melbourne (CBD),The Commercial Bakery,4511,Cafes and Restaurants,Seats - Indoor,30,-37.81528248, 144.9626388
955,2015,44,105958,105958,378-380 Little Collins Street,Melbourne (CBD),Oriental Tea House,4511,Cafes and Restaurants,Seats - Indoor,120,-37.81551671, 144.9620207
956,2015,44,105958,105958,378-380 Little Collins Street,Melbourne (CBD),Oriental Tea House,4511,Cafes and Restaurants,Seats - Outdoor,12,-37.81551671, 144.9620207
957,2015,54,104654,104654,27-31 Hardware Lane,Melbourne (CBD),Affogato,4511,Cafes and Restaurants,Seats - Indoor,24,-37.81398752, 144.9612664
958,2015,54,104654,104654,27-31 Hardware Lane,Melbourne (CBD),Affogato,4511,Cafes and Restaurants,Seats - Outdoor,22,-37.81398752, 144.9612664
959,2015,54,103184,103184,209-213 Elizabeth Street,Melbourne (CBD),Captains of Industry,4511,Cafes and Restaurants,Seats - Indoor,45,-37.81354034, 144.962548
960,2015,55,109286,109286,211-213 Swanston Street,Melbourne (CBD),Yoyogi Japanese Cafe,4511,Cafes and Restaurants,Seats - Indoor,98,-37.81284647, 144.9650158
961,2015,64,105706,105706,389-395 Lonsdale Street,Melbourne (CBD),City Street Food,4511,Cafes and Restaurants,Seats - Indoor,14,-37.81288006, 144.9610121
962,2015,64,105706,105706,389-395 Lonsdale Street,Melbourne (CBD),City Street Food,4511,Cafes and Restaurants,Seats - Outdoor,24,-37.81288006, 144.9610121
963,2015,64,105706,105706,389-395 Lonsdale Street,Melbourne (CBD),Kalamaki Greek Street Food,4511,Cafes and Restaurants,Seats - Indoor,35,-37.81288006, 144.9610121
964,2015,64,105706,105706,389-395 Lonsdale Street,Melbourne (CBD),Kalamaki Greek Street Food,4511,Cafes and Restaurants,Seats - Outdoor,25,-37.81288006, 144.9610121
965,2015,65,109301,109301,275-279 Swanston Street,Melbourne (CBD),McDonalds,4511,Cafes and Restaurants,Seats - Indoor,94,-37.81180752, 144.9645071
966,2015,66,105692,105692,213-215 Lonsdale Street,Melbourne (CBD),Pacific BBQ Cafe ,4511,Cafes and Restaurants,Seats - Indoor,100,-37.81144245, 144.9661427
967,2015,66,108555,108555,235-241 Russell Street,Melbourne (CBD),China Bar,4511,Cafes and Restaurants,Seats - Indoor,69,-37.81111923, 144.967037
968,2015,66,101785,101785,16 Celestial Avenue,Melbourne (CBD),Heyday Hong Kong Cafe,4511,Cafes and Restaurants,Seats - Indoor,16,-37.81181046, 144.9663726
969,2015,66,109395,109395,242 Swanston Street,Melbourne (CBD),Ghin Khao,4511,Cafes and Restaurants,Seats - Indoor,95,-37.81218452, 144.9653591
970,2015,66,109395,109395,242 Swanston Street,Melbourne (CBD),Ghin Khao,4511,Cafes and Restaurants,Seats - Outdoor,12,-37.81218452, 144.9653591
971,2015,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Caffe Torre,4511,Cafes and Restaurants,Seats - Indoor,79,-37.81073331, 144.9630189
972,2015,85,109307,109307,313-315 Swanston Street,Melbourne (CBD),D House Cafe,4511,Cafes and Restaurants,Seats - Indoor,70,-37.81088539, 144.964105
973,2015,26,109418,109418,199-209 Collins Street,Melbourne (CBD),Allegro Restaurant,4511,Cafes and Restaurants,Seats - Indoor,80,-37.81584777, 144.9674304
974,2015,26,109418,109418,199-209 Collins Street,Melbourne (CBD),Allegro Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,20,-37.81584777, 144.9674304
