MeterId,AssetId,Barcode,CreditCard,TapAndGo,MeterType,StreetName,Longitude,Latitude,Location
165TA,1631129,MPM1631129,YES,YES,Reino TTX,Royal Parade,144.9575886596596,-37.797482426303006,"(-37.797482426303, 144.95758865966)"
353TA,1631130,MPM1631130,YES,YES,Reino TTX,Kay Street,144.9721268147177,-37.794979831930945,"(-37.794979831931, 144.972126814718)"
205TA,1631131,MPM1631131,YES,YES,Reino TTX,Kay Street,144.9720677993466,-37.795193125251735,"(-37.795193125252, 144.972067799347)"
382TD,1631134,MPM1631134,YES,YES,Reino TTX,Bowen Crescent,144.96264875130697,-37.77949271780245,"(-37.779492717802, 144.962648751307)"
224TA,1631138,MPM1631138,YES,YES,Reino TTX,Lygon Street,144.96807084452823,-37.79332098044435,"(-37.793320980444, 144.968070844528)"
382TA,1631142,MPM1631142,YES,YES,Reino TTX,Bowen Crescent,144.9634588962943,-37.78214209512724,"(-37.782142095127, 144.963458896294)"
68TB,1631143,MPM1631143,YES,YES,Reino TTX,Cemetery Road East,144.96629081761256,-37.79315698012081,"(-37.793156980121, 144.966290817613)"
101TE,1631145,MPM1631145,YES,YES,Reino TTX,Princes Park Drive,144.96267806689374,-37.78830686273076,"(-37.788306862731, 144.962678066894)"
102TF,1631146,MPM1631146,YES,YES,Reino TTX,Royal Parade,144.95939974418837,-37.786619568172085,"(-37.786619568172, 144.959399744188)"
510B,1647422,MPM1647422,YES,YES,Cale CWT-C Touch,Exhibition Street,144.97069168425145,-37.81267412384687,"(-37.812674123847, 144.970691684251)"
103TB,1631148,MPM1631148,YES,YES,Reino TTX,Royal Parade,144.95809134059655,-37.79726087443437,"(-37.797260874434, 144.958091340597)"
291TA,1631149,MPM1631149,YES,YES,Reino TTX,Royal Parade,144.9583856372632,-37.79086421655005,"(-37.79086421655, 144.958385637263)"
755A,1647372,MPM1647372,YES,YES,Cale CWT-C Touch,Kavanagh Street,144.9618662860372,-37.82630284138953,"(-37.82630284139, 144.961866286037)"
VS13A,1620107,MPM1620107,YES,NO,Reino VX1,Albert Street,144.98252323875553,-37.81040847508652,"(-37.810408475087, 144.982523238756)"
RE2,1620109,MPM1620109,YES,NO,Reino VX1,Lansdowne Street,144.97784329909746,-37.81355789636299,"(-37.813557896363, 144.977843299097)"
RW1,1620110,MPM1620110,YES,NO,Reino VX1,Lansdowne Street,144.9773622778746,-37.81477098288361,"(-37.814770982884, 144.977362277875)"
CANT24,1630400,MPM1630400,YES,YES,Reino TTX,A'Beckett Street,144.9567542296254,-37.81038353856063,"(-37.810383538561, 144.956754229625)"
HAST4,1630402,MPM1630402,YES,YES,Reino TTX,Victoria Parade,144.97759428554647,-37.808662663908784,"(-37.808662663909, 144.977594285546)"
HAST8,1630403,MPM1630403,YES,YES,Reino TTX,Victoria Parade,144.98148462352384,-37.809096107800855,"(-37.809096107801, 144.981484623524)"
HAST7,1630410,MPM1630410,YES,YES,Reino TTX,Victoria Parade,144.9805753094412,-37.80898851295974,"(-37.80898851296, 144.980575309441)"
