Street address,Trading name,Number of seats,Longitude,Latitude,Type
 Elliott Avenue,Lakeside Bistro And Function Centre,240,144.9514349,-37.78428452,Cafe
23-99 Commercial Road,Alfretti Cafe,10,144.982664,-37.84633593,Cafe
230 Grattan Street,Lot#6 Cafe,80,144.9612468,-37.79739836,Cafe
181 William Street,Rock the Wok,24,144.9573923,-37.81531863,Cafe
206-218 Bourke Street,Tim Ho Wan,90,144.9668768,-37.81259409,Cafe
380-394 Docklands Drive,Cafe Bourgeois,50,144.9411967,-37.81308483,Cafe
42-44 King Street,Rare Steakhouse King Street,120,144.9573222,-37.81918367,Cafe
12-18 Meyers Place,San Telmo Restaurant,85,144.972451,-37.81221617,Cafe
578-606 Bourke Street,Mistress Bourke,72,144.9561073,-37.81571393,Cafe
744-770 Bourke Street,Espresso Alto ,22,144.947217,-37.81817241,Cafe
520-528 Victoria Street,Nizams Indian Restaurant,4,144.9487135,-37.80474738,Cafe
230 Grattan Street,Tsubu Bar,50,144.9612468,-37.79739836,Cafe
1-9 Exhibition Street,Bonnie Coffee Co,12,144.9720412,-37.81584246,Cafe
191 Nicholson Street,Scopri Italian Food & Wine ,60,144.9749221,-37.79568657,Cafe
164-170 Flinders Street,Nando's,74,144.9690862,-37.81670922,Cafe
161 Spring Street,The Melbourne Supper Club,90,144.9724291,-37.8109513,Cafe
367-377 Royal Parade,Degani Bakery Cafe,60,144.9585626,-37.7849288,Cafe
419 Elizabeth Street,Raan Kan Eang,40,144.9604891,-37.80911597,Cafe
298-336 Victoria Parade,Hudsons Coffee Freemasons,6,144.9822638,-37.8094576,Cafe
221-231 Queen Street,Caterina's Cucina E Bar,80,144.9597543,-37.81355361,Cafe
258-260 Flinders Lane,Eliana Lulu,32,144.9654744,-37.81664468,Cafe
541-557 Lonsdale Street,Bergerac,110,144.9562135,-37.81439357,Cafe
130-132 Flinders Street,Cafe Bisqui ,34,144.970543,-37.81627651,Cafe
331-335 Lygon Street,Jimmy Watsons ,24,144.9671779,-37.7975082,Cafe
176 Rathdowne Street,Bangkok Rain ,12,144.9711745,-37.79523278,Cafe
20-24 Guildford Lane,Krimper,90,144.9601274,-37.81115719,Cafe
210-222 Russell Street,Famous Hot Pot ,52,144.9679947,-37.81132789,Cafe
209-213 Elizabeth Street,Tropicana Juice Bar,10,144.962548,-37.81354034,Cafe
191 Lygon Street,Leyalina,48,144.9664967,-37.80114228,Cafe
559-587 Collins Street,Stockroom 567,90,144.9557275,-37.81902044,Cafe
80 Queensberry Street,Lambs Restaurant,22,144.9666993,-37.80443778,Cafe
389-399 Collins Street,The Old Chamber ,45,144.961439,-37.8173062,Cafe
11-15 Waratah Place,Hot Space,54,144.9669365,-37.81150382,Cafe
1 Phillip Court,Felicci's,38,144.920988,-37.82600955,Cafe
137-139 Flinders Lane,Oter,60,144.9700425,-37.8157316,Cafe
11-37 Exhibition Street,Grill'd,60,144.9717262,-37.81546152,Cafe
1-9 Southbank Boulevard,Breslin Bar And Grill,60,144.9628914,-37.8210403,Cafe
121 Exhibition Street,Tower Shushi,24,144.9701092,-37.81281453,Cafe
480 Bourke Street,CBD Bakery,20,144.9594641,-37.81506553,Cafe
233-239 Collins Street,Maccaroni Trattoria Italiana,22,144.9660881,-37.81602805,Cafe
299 Spring Street,Lost Angel Bar & Restaurant ,90,144.9710147,-37.80814522,Cafe
258 Elgin Street,Cafe Sua Da,45,144.9655339,-37.79670704,Cafe
29-65 South Wharf Promenade,Akachochin,20,144.9503336,-37.82409303,Cafe
402-408 Lonsdale Street,Mook Ji Bar,68,144.9603254,-37.81244232,Cafe
174 Bellair Street,Sori Cafe,14,144.9299293,-37.79360999,Cafe
177-183 Lygon Street,Cafe Cavallino,100,144.9664967,-37.80144374,Cafe
166-168 Lygon Street,Il Gambero On The Park ,28,144.9668138,-37.803305,Cafe
313-329 Exhibition Street,Jack Sprat,60,144.9684259,-37.80864972,Cafe
121 Exhibition Street,Urban Deli SX1,110,144.9701092,-37.81281453,Cafe
43 Epsom Road,Local Folk Cafe,13,144.9256097,-37.79223674,Cafe
15-19 Warburton Lane,Portello Rosso,45,144.9618462,-37.81381239,Cafe
343 King Street,Biryani House,24,144.9535723,-37.81223871,Cafe
127-133 Leicester Street,Bar Scopa ,16,144.9602088,-37.80290295,Cafe
536-548 Little Lonsdale Street,All 4 U Cafe & Bar,40,144.9532342,-37.81359291,Cafe
604 Swanston Street,Spice 9 Grill ,74,144.9643119,-37.80188571,Cafe
480-490 Collins Street,Yuzu Cafe & Cuisine,120,144.9579514,-37.8176551,Cafe
57-67 Little Collins Street,N Lee Bakery And Cafe,18,144.9716953,-37.81309819,Cafe
122-148 Harbour Esplanade,Locker Room Cafe,12,144.9475776,-37.81656591,Cafe
3 Southgate Avenue,Grill'd,30,144.9662623,-37.82066923,Cafe
2 Convention Centre Place,Caffe Cino,50,144.9523782,-37.82539976,Cafe
189 Collins Street,Box On Collins Restaurant,20,144.9677066,-37.81546677,Cafe
1-9 Freshwater Place,Nashi ,20,144.962154,-37.82167834,Cafe
706-738 Bourke Street,Hawkers Corner,60,144.9490176,-37.81792089,Cafe
116-122 Hardware Street,The Hardware Societe,20,144.9607032,-37.81194755,Cafe
578-606 Bourke Street,Mistress Bourke,100,144.9561073,-37.81571393,Cafe
45-49 Bourke Street,Shuji Sushi,88,144.9719053,-37.8119837,Cafe
268-276 Victoria Street,Hallah,50,144.9573902,-37.80580455,Cafe
85-161 Spencer Street,Hungry Jack's,100,144.9523393,-37.81815358,Cafe
2-14 Hope Street,Bistro Gitan,74,144.9793098,-37.83713808,Cafe
230 Grattan Street,Lab 39,61,144.9612468,-37.79739836,Cafe
317-321 Little Collins Street,Caffe E Biscotti,15,144.9642254,-37.81528948,Cafe
63-75 Coventry Street,Manchipster Fish And Burger Bar,40,144.9679591,-37.82998246,Cafe
472-482 Flinders Street,Riverside Deli & Coffee House,50,144.9582721,-37.81974184,Cafe
296-298 Russell Street,Shu Grill Bar,30,144.9669287,-37.80957196,Cafe
131-137 Lonsdale Street,1st Choice Restaurant ,60,144.96853,-37.81098009,Cafe
78-84 Bourke Street,Grossi Florentino,54,144.9708473,-37.81172969,Cafe
497-513 Rathdowne Street,Providence Cafe & Eatery,22,144.9706731,-37.79365073,Cafe
174-178 Lygon Street,Lemongrass,16,144.96678,-37.80305855,Cafe
140-146 Lygon Street,La Notte Restaurant,180,144.9667231,-37.803783,Cafe
64-90 Sutton Street,64 Sutton,30,144.937872,-37.7916558,Cafe
213-221 Berkeley Street,Garage Cafe & Bar,70,144.9584099,-37.80041082,Cafe
222-244 Bourke Street,Gloria Jean's Coffees,20,144.9662952,-37.81272047,Cafe
100 Little Lonsdale Street,Gami Chicken and Beer,48,144.9687195,-37.80913623,Cafe
49 Rathdowne Street,Epocha Restaurant,30,144.9685944,-37.80578725,Cafe
70 Speakmen Street,Don't Tell Charles Coffee & Desserts,14,144.9163635,-37.79387621,Cafe
204 Little Bourke Street,Ling Nam Chinese Restaurant,90,144.9665408,-37.81199247,Cafe
445-447 Queensberry Street,Grigons & Orr Corner Store ,20,144.952777,-37.80357227,Cafe
466-468 Little Lonsdale Street,Silhouette's Cafe & Restaurant,40,144.955573,-37.81290439,Cafe
612-624 Collins Street,Choix Creperie Cafe,6,144.9543505,-37.81867544,Cafe
415-421 St Kilda Road,Famish'd,28,144.9770428,-37.83774553,Cafe
131-137 Lonsdale Street,Encore Restaurant & Bar,35,144.96853,-37.81098009,Cafe
 Royal Parade,Carlton Cafe,70,144.9613973,-37.78509079,Cafe
100-106 Leicester Street,Stovetop,16,144.9608587,-37.8037076,Cafe
219-233 Elizabeth Street,Shanghai Street,8,144.9622831,-37.81321386,Cafe
311 Exhibition Street,Food Stories Chinese Canteen,6,144.9687046,-37.80869914,Cafe
20-26 Queen Street,Maha Bar & Grill,80,144.9625299,-37.81819275,Cafe
2-14 Hope Street,Bistro Gitan,6,144.9793098,-37.83713808,Cafe
240 Lygon Street,Piccolo Mondo,120,144.9672464,-37.80158026,Cafe
32-54 Lonsdale Street,Goz City,11,144.9707325,-37.8091842,Cafe
38-46 Sabre Drive,Sabre Cafe,22,144.9063359,-37.82797655,Cafe
380 Elizabeth Street,Nando's ,58,144.9614913,-37.80985709,Cafe
63-75 Coventry Street,Restuarant Ayams Chef,8,144.9679591,-37.82998246,Cafe
222-244 Bourke Street,Ramen Bankara,50,144.9662952,-37.81272047,Cafe
199-209 Collins Street,Lobby Lounge,24,144.9674304,-37.81584777,Cafe
1-13 William Street,Williams Bar Cafe,100,144.9595106,-37.81943285,Cafe
219-233 Elizabeth Street,Little Ramen Bar,6,144.9622831,-37.81321386,Cafe
295-307 William Street,Xtraction ,100,144.9558855,-37.81244731,Cafe
381-387 Flinders Lane,Travistock House Cafe,40,144.961389,-37.81825094,Cafe
316-318 Lygon Street,Copperwood ,160,144.9676,-37.79962339,Cafe
1-9 Freshwater Place,McDonald's,54,144.962154,-37.82167834,Cafe
276-282 King Street,Biryani Palace,24,144.9548222,-37.81349786,Cafe
297-307 Victoria Street,One Star Coffee Lounge,8,144.9513664,-37.80562951,Cafe
215 Victoria Street,Don Camillo Cafe Bar Restaurant,9,144.954241,-37.80592219,Cafe
706-738 Bourke Street,Focaccino,18,144.9490176,-37.81792089,Cafe
235-237 Faraday Street,New York Minute,24,144.9662956,-37.7988135,Cafe
252-254 Flinders Lane,Eurolane Cafe ,6,144.9655966,-37.8166033,Cafe
45 Collins Street,Great Space Cafe,27,144.9726281,-37.81430616,Cafe
221-231 Queen Street,Ho's Cafe  ,30,144.9597543,-37.81355361,Cafe
8 Whiteman Street,Spice Temple,180,144.9586604,-37.82312164,Cafe
788-812 Bourke Street,In A Rush 800,56,144.9451224,-37.81888389,Cafe
706-738 Bourke Street,Focaccino,50,144.9490176,-37.81792089,Cafe
251-257 Cardigan Street,Rice Bar Not Only Rice,40,144.9651037,-37.80077102,Cafe
56-64 Collins Street,Cafe 60,60,144.9716242,-37.81361885,Cafe
195 Lonsdale Street,@T Ease,10,144.9666305,-37.8112684,Cafe
38-40 Lonsdale Street,Madam's Kitchen,46,144.9707325,-37.8091842,Cafe
2 Swanston Street,Crossbar Cafe,50,144.9699175,-37.81784465,Cafe
118 Lygon Street,Grilled 118,20,144.9666993,-37.80443778,Cafe
131-135 Bourke Street,Heirloom ,113,144.9694638,-37.8130107,Cafe
19-21 Lonsdale Street,Lonsdale Coffee Delight,27,144.9715313,-37.80981882,Cafe
100 St Kilda Road,Teatro,60,144.9682264,-37.82094188,Cafe
37-41 Little Bourke Street,Vamos,100,144.9715059,-37.81083595,Cafe
67-73 Hardware Lane,The Mill,60,144.960908,-37.81323451,Cafe
183-265 La Trobe Street,Monkey King Bar,18,144.9630189,-37.81073331,Cafe
165 Bourke Street,Pintoh,75,144.9686295,-37.81292544,Cafe
330-352 William Street,Brother Thomas Coffee,6,144.9565783,-37.81124428,Cafe
471 Elizabeth Street,CY Sushi & Noodle,34,144.9599508,-37.80794087,Cafe
111-129 Queen Street,Lanai Restaurant & Bar,80,144.9606367,-37.81581152,Cafe
75-77 Flinders Lane,Cafe Shots Espresso Bar,5,144.9722399,-37.81514512,Cafe
14-40 Market Street,KCL (Koury's Coffee Lounge) ,35,144.9611339,-37.81848796,Cafe
487 Elizabeth Street,Podok Rempah,12,144.9597917,-37.80760291,Cafe
22-38 William Street,Shiraaz at CBD Fine Indian Cuisine,90,144.9599653,-37.81877654,Cafe
542-546 Little Bourke Street,SMXL,9,144.9563672,-37.81477885,Cafe
163-169 Russell Street,Shanghai Dragon Dumpling House,28,144.9676479,-37.81246709,Cafe
51 Bourke Street,The Mess Hall,24,144.9717967,-37.81200666,Cafe
8 Errol Street,Cafe Sabor,20,144.949581,-37.80489366,Cafe
452-470 Flinders Street,Shuji Sushi,56,144.9586012,-37.81946849,Cafe
63-65 George Street,George Street Cafe,35,144.9881843,-37.81575788,Cafe
1010 La Trobe Street,Coffee n' all Customs House,36,144.9453402,-37.81453858,Cafe
304-306 Little Collins Street,Gordons Cafe & Bar,22,144.9643486,-37.81473293,Cafe
113-129 Sturt Street,Malthouse Kitchen,100,144.9669591,-37.8271278,Cafe
289-299 Swanston Street,Guzman Y Gomez Swanston Street,86,144.9642637,-37.8112271,Cafe
535 Little Lonsdale Street,Kenny's Bakery Cafe ,12,144.9560169,-37.8134766,Cafe
516-520 Collins Street,Feast @ 520,42,144.9572629,-37.81780327,Cafe
363-367 Little Collins Street,That's Amore Bistro,58,144.9628116,-37.81581721,Cafe
221 Little Lonsdale Street,Papparich,80,144.9657034,-37.810658,Cafe
517-537 Flinders Lane,Delhi Streets,28,144.9566017,-37.81988484,Cafe
705-715 Collins Street,Chiara,80,144.9511863,-37.82096812,Cafe
639 Lonsdale Street,Piccolo,9,144.9535531,-37.8153588,Cafe
240-254 Victoria Parade,Solah,12,144.9799791,-37.80919457,Cafe
350-352 Drummond Street,Markov,65,144.9692712,-37.79771074,Cafe
8 Whiteman Street,Nobu Melbourne,160,144.9586604,-37.82312164,Cafe
152-158 Bourke Street,Ginza Teppanyaki Japanese Restaurant,80,144.9685359,-37.81206119,Cafe
45 Collins Street,Asian Pavillion ,14,144.9726281,-37.81430616,Cafe
44-50 Errol Street,Reynoldo's,150,144.9500439,-37.80411038,Cafe
612-624 Collins Street,Pallet Espresso,3,144.9543505,-37.81867544,Cafe
175-177 Domain Road,Bacash,100,144.9819451,-37.83430009,Cafe
183-265 La Trobe Street,Food Inc.,40,144.9630189,-37.81073331,Cafe
230 Grattan Street,Zambrero,48,144.9612468,-37.79739836,Cafe
188 Bellair Street,Fruits of Passion,41,144.9299933,-37.79392952,Cafe
172 Rathdowne Street,Fu Lu Chinese Cafe,4,144.9711594,-37.79532263,Cafe
61-73 Flinders Lane,Cecconi's Flinders Lane,180,144.9725123,-37.81506474,Cafe
148-150 Lygon Street,Pasta Rustica Ristorante,38,144.966737,-37.80366897,Cafe
104 Ireland Street,Villanove Coffee,13,144.9430815,-37.80642484,Cafe
183-265 La Trobe Street,Gloria Jeans,20,144.9630189,-37.81073331,Cafe
160-162 Bourke Street,Whitte Tomato,70,144.9684702,-37.81244856,Cafe
187 Flinders Lane,Ezard,68,144.9683751,-37.81635789,Cafe
305 Lygon Street,Tiamo 2,125,144.9670792,-37.79817948,Cafe
401-405 Swanston Street,KFC,73,144.963217,-37.80904283,Cafe
391-393 Little Lonsdale Street,Gypsy & Pig,10,144.9603411,-37.81187439,Cafe
24-38 Little Bourke Street,Deli 1884,45,144.9714138,-37.81033978,Cafe
302-308 Flinders Lane,Bistro Du Peuple,22,144.9638971,-37.81719967,Cafe
1-9 Freshwater Place,The Meat & Wine Co,250,144.962154,-37.82167834,Cafe
1-27 South Wharf Promenade,The Boatbuilders Yard,54,144.9534995,-37.82437522,Cafe
175-183 Queen Street,Kenny's Bakery Cafe,56,144.9599857,-37.81452036,Cafe
250-254 Flinders Street,II Tempo Bar,30,144.9659973,-37.81752037,Cafe
199-209 Collins Street,Campari Spritz Point,32,144.9674304,-37.81584777,Cafe
225 Russell Street,Shujinko,48,144.9671363,-37.81134266,Cafe
226-236 Russell Street,Thai Chilli Cafe,48,144.9676444,-37.81098272,Cafe
383-385 Little Bourke Street,Ume Sushi House,36,144.961463,-37.81377588,Cafe
500 Victoria Street,El Subor,70,144.9496812,-37.804917,Cafe
22-32 Little La Trobe Street,Little Charley - Brady Hotels Central Melbourne,40,144.9626724,-37.80917165,Cafe
743-751 Swanston Street,KFC Carlton,10,144.9636423,-37.8006201,Cafe
131-133 Domain Road,Entrecote - Paris Steakhouse & Winebar,30,144.9804913,-37.83412547,Cafe
230 Grattan Street,Shanti Bhagwan Cafe,36,144.9612468,-37.79739836,Cafe
87-89 Flinders Lane,Swiss Club Restaurant,100,144.9713925,-37.81542975,Cafe
743-751 Swanston Street,China Style ,44,144.9636423,-37.8006201,Cafe
740-750 Swanston Street,E Dumpling,8,144.9647653,-37.79899938,Cafe
535 Little Lonsdale Street,Gami At Healeys - Chicken & Beer,12,144.9560169,-37.8134766,Cafe
500-514 Collins Street,Kantina Kartel,22,144.9574732,-37.81753383,Cafe
49-89 Turner Street,Cafe Port IT ,35,144.9253775,-37.82304058,Cafe
389-395 Lonsdale Street,Kalamaki Greek Street Food,25,144.9610121,-37.81288006,Cafe
221-231 Collins Street,Tako Sushi Japanses Cafe,20,144.9663304,-37.81584476,Cafe
1-9 Freshwater Place,Nashi ,14,144.962154,-37.82167834,Cafe
256-268 Flinders Street,Il Tempo 2 Pasta,14,144.9656264,-37.81760781,Cafe
72 Victoria Street,Biryani King,45,144.9654212,-37.80670799,Cafe
141-155 City Road,Fusion Hotpot,110,144.963253,-37.82376394,Cafe
791-847 Collins Street,Volume Cafe,40,144.9457644,-37.82205739,Cafe
161-169 Elgin Street,Cafe Lua,36,144.969295,-37.79757961,Cafe
6 Riverside Quay,Ludlow Bar & Dining Room,300,144.9638287,-37.82082512,Cafe
226-236 Russell Street,Pho Dung Tan Dinh City,80,144.9676444,-37.81098272,Cafe
199-209 Collins Street,Three Below,25,144.9674304,-37.81584777,Cafe
263 Lygon Street,Lygon Food Store,29,144.966868,-37.79929755,Cafe
11-37 Exhibition Street,The French Brasserie,85,144.9717262,-37.81546152,Cafe
189-203 William Street,Little Billy,150,144.9570408,-37.8146364,Cafe
18-24 Dorcas Street,Humbaba,24,144.9695681,-37.83002436,Cafe
270-272 Flinders Street,Platform 270,48,144.9653484,-37.81769553,Cafe
183-265 La Trobe Street,Caffe Torre,79,144.9630189,-37.81073331,Cafe
46-62 Cook Street,Red Rooster Westgate,40,144.9171939,-37.82984854,Cafe
1-4 Nicholson Street,Aromatic Cafe,40,144.9735223,-37.80899046,Cafe
2-12 Parliament Place,The Commune ,70,144.9757456,-37.81162322,Cafe
121 Lygon Street,Grilla House,24,144.9660241,-37.80415049,Cafe
256-268 Flinders Street,Il Tempo 2 Pasta,32,144.9656264,-37.81760781,Cafe
351-357 Collins Street,Vapiano,250,144.9627888,-37.81722704,Cafe
318-322 Little Bourke Street,Nant 1821,88,144.9631276,-37.81292437,Cafe
167-175 Franklin Street,Discovery Cafe,50,144.9591538,-37.80895967,Cafe
243-249 Swanston Street,The Lounge,118,144.9647365,-37.81230108,Cafe
15-17 Celestial Avenue,Supper Inn Chinese Restaurant,70,144.9661302,-37.81188094,Cafe
149 Lygon Street,Tank Fish And Chippery ,20,144.9661127,-37.80369873,Cafe
407-409 Swanston Street,Druids Cafe,75,144.9631797,-37.80895593,Cafe
176 Bellair Street,White Rabbit Record Bar,35,144.9299348,-37.7936563,Cafe
238-242 Flinders Street,Flora Indian Restaurant,140,144.9663532,-37.81733219,Cafe
18-22 McKillop Street,Dip In Cafe,10,144.9618186,-37.81514598,Cafe
11-41 Melrose Street,Cafe Innov-8,4,144.9414027,-37.79501722,Cafe
100 St Kilda Road,Sake Restaurant & Bar,70,144.9682264,-37.82094188,Cafe
230 Lygon Street,Lygon Dolce Vita,45,144.9672092,-37.80180395,Cafe
235-251 Bourke Street,Starbucks,16,144.9665978,-37.81376503,Cafe
251-257 Cardigan Street,Rakuzen Simple Japanese ,36,144.9651037,-37.80077102,Cafe
107-117 Victoria Harbour Promenade,Snack A Rama,30,144.9405366,-37.82003433,Cafe
157-159 Lonsdale Street,Kokoro Ramen,59,144.9678627,-37.81093607,Cafe
240 Lygon Street,Piccolo Mondo,28,144.9672464,-37.80158026,Cafe
213-217 Russell Street,Spices Indonesian Kitchen,40,144.9672365,-37.81156167,Cafe
320-386 Epsom Road,Rye Cafe,16,144.9155212,-37.78257294,Cafe
700-704 Bourke Street,90 Secondi,75,144.9493733,-37.81733574,Cafe
203-207 Lonsdale Street,Carribbean Grilled Fish by China Chilli,80,144.9663534,-37.81133175,Cafe
700-704 Bourke Street,Story Coffee & Food Store,16,144.9493733,-37.81733574,Cafe
53-75 Pelham Street,Michelino's Trattoria,16,144.9671858,-37.80324285,Cafe
8-14 Rankins Lane,Manchester Press,50,144.9621262,-37.81387847,Cafe
29-65 South Wharf Promenade,The General Assembly,180,144.9503336,-37.82409303,Cafe
372-380 Albert Street,Degani @ East Melbourne,46,144.9787048,-37.80963919,Cafe
359-373 Collins Street,The Overdraft Cafe,40,144.9624418,-37.81728432,Cafe
100 St Kilda Road,Centro Espresso,56,144.9682264,-37.82094188,Cafe
209 Lygon Street,Il Cantuccio Restaurant,20,144.9666464,-37.80043187,Cafe
58 Clarke Street,Circolo,8,144.9593368,-37.82786328,Cafe
500 Victoria Street,El Subor,4,144.9496812,-37.804917,Cafe
122-130 Wellington Parade,The Grey Smith,28,144.9859889,-37.81609349,Cafe
791-847 Collins Street,Caffe Esc,36,144.9457644,-37.82205739,Cafe
520-528 Victoria Street,Nizams Indian Restaurant,28,144.9487135,-37.80474738,Cafe
25-45 Collins Street,Sofi's Lounge,140,144.9726281,-37.81430616,Cafe
538-542 Little Collins Street,Five Points,14,144.956774,-37.81695942,Cafe
98 Bourke Street,Jaisalmer Palace Indian Restaurant ,80,144.9701703,-37.81194604,Cafe
122-124 Peel Street,Maria Trattoria,4,144.9564599,-37.80519937,Cafe
387 Little Bourke Street,Coffee 7,20,144.9613937,-37.81379622,Cafe
11-19 Liverpool Street,Rice Paper Scissors Asian Kitchen,20,144.9713242,-37.81131159,Cafe
295-301 Exhibition Street,Sally's Kitchen,50,144.9688284,-37.80893166,Cafe
235 Exhibition Street,Subway,28,144.9694844,-37.81044353,Cafe
538-542 Little Collins Street,Piccolocino,8,144.956774,-37.81695942,Cafe
28-38 Queen Street,Cafe 34,36,144.9624375,-37.81798973,Cafe
72 Stubbs Street,La Tortilleria,30,144.9353022,-37.79142203,Cafe
362 Lygon Street,Sea Saltfish & Sushi Bar,17,144.9676347,-37.79832944,Cafe
550 Bourke Street,Tadka Boom,40,144.9573923,-37.81531863,Cafe
393-397 Little Bourke Street,Larder Section,18,144.9612043,-37.8138513,Cafe
483 Swanston Street,Pork Belly House Melbourne,24,144.9620907,-37.80728963,Cafe
183-265 La Trobe Street,Theobroma Chocolate Lounge,34,144.9630189,-37.81073331,Cafe
207-213 Queen Street,La Romana Pizza Al Taglio,50,144.9599073,-37.81386746,Cafe
134-136 Flinders Street,Desi Dhaba,90,144.9704304,-37.81629562,Cafe
37-43 Caravel Lane,B Club Cafe,28,144.9406594,-37.8149263,Cafe
19-37 A'Beckett Street,We Cafe,36,144.9626101,-37.80894099,Cafe
768-804 Swanston Street,The Longing Flavour,50,144.965164,-37.79780844,Cafe
225-229 Lygon Street,Cafe Corretto,55,144.966741,-37.80004558,Cafe
313-329 Exhibition Street,Global Kitchen Caffe,80,144.9684259,-37.80864972,Cafe
487-497 Flinders Lane,B3 Cafe,6,144.957712,-37.81937993,Cafe
37-43 Caravel Lane,Steakhouse 66,50,144.9406594,-37.8149263,Cafe
680-682 Swanston Street,Colourful Yunnan Restaurant,8,144.9642366,-37.80062759,Cafe
2-20 Sutherland Street,Raw Trader,19,144.9609484,-37.81131629,Cafe
405-407 Collins Street,Bluebag,40,144.9611131,-37.81745676,Cafe
27-31 Hardware Lane,Big Boy BBQ,16,144.9612664,-37.81398752,Cafe
111-129 Bourke Street,Nashi,31,144.9701092,-37.81281453,Cafe
1-9 Freshwater Place,Shuji Sushi,2,144.962154,-37.82167834,Cafe
305-331 City Road,McDonald's,50,144.9578749,-37.82832676,Cafe
187 Flinders Lane,Om Nom,40,144.9683751,-37.81635789,Cafe
230 Lygon Street,Lygon Dolce Vita,12,144.9672092,-37.80180395,Cafe
251-257 Cardigan Street,Rice Bar Not Only Rice,58,144.9651037,-37.80077102,Cafe
21-25 Hardware Lane,Campari House,100,144.9613142,-37.81409153,Cafe
206-218 Bourke Street,Shanghai Dynasty Restaurant,300,144.9668768,-37.81259409,Cafe
256 Lygon Street,Il Gusto,24,144.9671605,-37.80118693,Cafe
478 Drummond Street,Fatayer Cafe,16,144.9690954,-37.79465838,Cafe
267-275 Flinders Lane,Jing Jai Thai,70,144.9654844,-37.81710105,Cafe
273-279 Little Collins Street,San Paolo Solarino,22,144.9653693,-37.81490375,Cafe
40-50 Bourke Street,Cafe On Bourke,32,144.971689,-37.81137728,Cafe
31 Sturt Street,Blondie Bar,80,144.9677949,-37.82420378,Cafe
302-308 Flinders Lane,Robot Sushi & Bar,40,144.9638971,-37.81719967,Cafe
360 La Trobe Street,Dotonbori,52,144.9591368,-37.8107204,Cafe
791-803 Bourke Street,Pok Pok,50,144.9456209,-37.81974585,Cafe
221 Little Lonsdale Street,Mad Mex,12,144.9657034,-37.810658,Cafe
58 Clarke Street,Circolo,18,144.9593368,-37.82786328,Cafe
320 Lygon Street,Donnini's ,24,144.9675104,-37.79953749,Cafe
101 Waterfront Way,Buddy Bakery Cafe,16,144.9375906,-37.81187395,Cafe
317-321 Little Collins Street,Cafe Segovia,16,144.9642254,-37.81528948,Cafe
612-624 Collins Street,Purple Peanuts Japanese Cafe,18,144.9543505,-37.81867544,Cafe
118-126 Queen Street,CoF.E.Fix,8,144.9612988,-37.81565401,Cafe
96-98 Flinders Street,Tonka Bar & Restaurant,120,144.9714735,-37.81589712,Cafe
4 Riverside Quay,Soho Restaurant & Bar,60,144.9633758,-37.82092509,Cafe
519-539 St Kilda Road,Beluga At Chevron ,33,144.9798191,-37.8455379,Cafe
377-379 Little Collins Street,Nori Nori,45,144.9624392,-37.81585501,Cafe
445-447 Queensberry Street,Grigons & Orr Corner Store ,9,144.952777,-37.80357227,Cafe
547-555 Flinders Lane,Cherry & Twigs,24,144.9558379,-37.82001952,Cafe
85-161 Spencer Street,Velluto,20,144.9523393,-37.81815358,Cafe
85-161 Spencer Street,Grill'd,88,144.9523393,-37.81815358,Cafe
6-8 Nicholson Street,Cafe Ecco,24,144.973619,-37.80849653,Cafe
515 Little Bourke Street,Slate Restaurant Bar,60,144.9573923,-37.81531863,Cafe
257-259 Macaulay Road,North End Deli,30,144.938198,-37.79557663,Cafe
199-207 Spring Street,Father John Cafe,8,144.9720594,-37.81012699,Cafe
720-750 Collins Street,Shinsei Rice & Sushi Bar,72,144.9492736,-37.81999404,Cafe
8 Whiteman Street,Lucky Chans,130,144.9586604,-37.82312164,Cafe
262 Lygon Street,Alpino Restaurant,24,144.9671843,-37.80103476,Cafe
183-265 La Trobe Street,Cupcake Central ,20,144.9630189,-37.81073331,Cafe
35-47 Coventry Street,Queenie's Restaurant & Cafe,40,144.9693922,-37.82956555,Cafe
304-306 Little Collins Street,Laurent Boulangerie Patisserie,30,144.9643486,-37.81473293,Cafe
197 Lonsdale Street,Tsindos Greek Restaurant,16,144.9665765,-37.81128456,Cafe
163-173 Queen Street,Plus 6zer0,80,144.9602243,-37.81467989,Cafe
16 Bourke Street,Red Pepper Indian Restaurant,66,144.972413,-37.81127672,Cafe
199 Victoria Street,Bombay Lounge,38,144.9547681,-37.8059984,Cafe
118-120 Elgin Street,Longhorn Saloon,300,144.9708545,-37.79723715,Cafe
18 Queen Street,Bond Street Kitchen,4,144.9625773,-37.81829599,Cafe
237 Swanston Street,Tina's Noodle Kitchen,16,144.9648043,-37.81244693,Cafe
19-37 A'Beckett Street,No 1 Spicey Pot,58,144.9626101,-37.80894099,Cafe
59-63 Bourke Street,Spaghetti Tree ,12,144.9715659,-37.81212537,Cafe
475-485 Flinders Lane,Masala Grill,4,144.9581001,-37.81936891,Cafe
243-263 Franklin Street,GJ's Grill,34,144.9566627,-37.80967009,Cafe
100-116 Bourke Street,Killiney Kopitiam Bourke Street,80,144.9697778,-37.81170307,Cafe
188-194 Little Collins Street,Sarti Restaurant & Bar,65,144.9675807,-37.81390779,Cafe
744-770 Bourke Street,De Gusto,12,144.947217,-37.81817241,Cafe
262-276 Lorimer Street,Bonnie and Duke Cafe Port Melbourne,40,144.9050213,-37.82653298,Cafe
